,Score,Vector
"Scikit Optimize (Gaussian Process, Matern, round)",0.7680875594088185,"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]"
"Scikit Optimize (Gaussian Process, Hamming, round)",0.7636061591438336,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, round)",0.7670851865687569,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1]"
"Scikit Optimize (Gaussian Process, Matern, n highest, n_features=5)",0.6955745128594033,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Scikit Optimize (Gaussian Process, Matern, n highest, n_features=10)",0.7262415544626064,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"Scikit Optimize (Gaussian Process, Matern, n highest, n_features=15)",0.7558117034061769,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
"Scikit Optimize (Gaussian Process, Matern, n highest, n_features=20)",0.7669827634151425,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
"Scikit Optimize (Gaussian Process, Matern, n highest, n_features=25)",0.7722284915146891,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
"Scikit Optimize (Gaussian Process, Hamming, n highest, n_features=5)",0.6916762889129079,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"Scikit Optimize (Gaussian Process, Hamming, n highest, n_features=10)",0.7377132195017391,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
"Scikit Optimize (Gaussian Process, Hamming, n highest, n_features=15)",0.7577064063589233,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]"
"Scikit Optimize (Gaussian Process, Hamming, n highest, n_features=20)",0.768382440362051,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Scikit Optimize (Gaussian Process, Hamming, n highest, n_features=25)",0.7733698583710261,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, n highest, n_features=5)",0.6863720324558118,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, n highest, n_features=10)",0.7262415544626064,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, n highest, n_features=15)",0.7558581696333794,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, n highest, n_features=20)",0.7669827634151425,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, n highest, n_features=25)",0.7734690248819529,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"Scikit Optimize (Gaussian Process, Matern, binary)",0.7693030965018905,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]"
"Scikit Optimize (Gaussian Process, Hamming, binary)",0.7713896660065196,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]"
"Scikit Optimize (Gaussian Process, Radial Basis Functions, binary)",0.7732085942827378,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"Scikit Optimize (Random Forest, round)",0.756280032062776,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
"Scikit Optimize (Random Forest, n highest, n_features=5)",0.7011528340980053,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
"Scikit Optimize (Random Forest, n highest, n_features=10)",0.7452273102839904,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1]"
"Scikit Optimize (Random Forest, n highest, n_features=15)",0.7523450477342337,"[0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
"Scikit Optimize (Random Forest, n highest, n_features=20)",0.7684995894613355,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"Scikit Optimize (Random Forest, n highest, n_features=25)",0.7734788718137666,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"Scikit Optimize (Random Forest, binary)",0.7655616663173566,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1]"
"Scikit Optimize (Extra Trees, round)",0.7656910517197693,"[0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1]"
"Scikit Optimize (Extra Trees, n highest, n_features=5)",0.694808786883245,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Scikit Optimize (Extra Trees, n highest, n_features=10)",0.7262415544626064,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"Scikit Optimize (Extra Trees, n highest, n_features=15)",0.7599124630085019,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]"
"Scikit Optimize (Extra Trees, n highest, n_features=20)",0.7669827634151425,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
"Scikit Optimize (Extra Trees, n highest, n_features=25)",0.7732070224417136,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Scikit Optimize (Extra Trees, binary)",0.7629012099184205,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
"Scikit Optimize (Gradient Boosting Quantile, round)",0.7598050821584211,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]"
"Scikit Optimize (Gradient Boosting Quantile, n highest, n_features=5)",0.7158245374984424,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Scikit Optimize (Gradient Boosting Quantile, n highest, n_features=10)",0.7341704763461827,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]"
"Scikit Optimize (Gradient Boosting Quantile, n highest, n_features=15)",0.7548822834846756,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1]"
"Scikit Optimize (Gradient Boosting Quantile, n highest, n_features=20)",0.7683153164791687,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"Scikit Optimize (Gradient Boosting Quantile, n highest, n_features=25)",0.7737263113095562,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Scikit Optimize (Gradient Boosting Quantile, binary)",0.7727320424081273,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
